Genus.species;Ed/Hd;Bbl/Bl;Mo/Bd;Jl/Hd;Eh/Bd;Bl/Bd;PFi/Bd;PFl/Bl;CFd/CPd
Auchenipterus.dentatus;0.612485774838126;0.208330417259393;0.275282839581946;0.456310007979684;0.195098440878452;4.87672638733896;0.187119525182025;0.168360797867739;2.88912681505977
Auchenipterus.nuchalis;0.465715355323313;0.310657209619191;0.153842551700788;0.885379919685449;0.29924462904519;4.94657572320081;0.267875196228124;0.157547622286342;2.35303301018338
Batrochoglanis.raninus;0.154123211240514;0.28858024691358;0.179204378733696;0.401242274089433;0.451700680272109;5.01626827381967;0.261757541724208;0.224755568820794;1.84050315291839
Batrochoglanis.villosus;0.151649656247785;0.157802763647218;0.094299808166621;0.37848182011482;0.450934502603453;3.52539325842697;0.147048506440121;0.162836905013619;1.97063167955513
Bivibranchia.bimaculata;0.606701248318203;0;0.038909577612268;0.579317449400614;0.384666900142276;4.24908036821591;0.12139202586079;0.202381738833955;3.53723104763646
Bivibranchia.simulata;0.471546938579543;0;0.173822490294221;0.361240028170863;0.455924595238557;3.97054055456442;0.175293399686155;0.205858080575002;3.43636053684574
Boulengerella.cuvieri;0.357117028326881;0;0.29536853881666;1.67459460593887;0.381408284895263;6.68023929155742;0.168458486330638;0.133683034789073;2.7661122872674
Brachychalcinus.orbicularis;0.361243710488969;0;0.259104983445485;0.409712725239754;0.223881411124707;1.43999738182294;0.144570646235189;0.221267045454545;2.37600083015653
Brachyhypopomus.beebei;0.124271978495365;0;0.124894472022423;0.27811283040976;0.348124134670584;10.2826461351433;0.28703609901057;0.0213464696223317;0
Brachyhypopomus.brevirostris;0.175376579619429;0;0.433462295354017;0.241671961303052;0.403172174033888;12.4838154728025;0.356757440230936;0.0398132173743089;0
Brachyhypopomus.pinnicaudatus;0.127659574468085;0;0.262564820690108;0.519425531914894;0.36517296457563;8.38025950156445;0.262564820690108;NA;0
Brachyplatystoma.filamentosum;0.204383772351471;0.75153357121163;0.101729399796541;0.534570274947126;0.425452695829095;4.92371312309257;0.111902339776195;0.155605050402788;3.08333333333333
Brachyplatystoma.rousseauxii;0.146830174305893;0.33609780917151;0.176013293261466;0.517792801581181;0.389924616519675;4.47943871338109;0.130209844509118;0.132123496022671;3.25714285714286
Brachyplatystoma.vaillantii;0.158026314248881;0.708152229242872;0.179445345240078;0.550632074500947;0.440906480024741;4.52578292031049;0.1343739819831;0.170348557921731;3.30155951213167
Brycon.falcatus;0.439403515125396;0;0.303933687596949;0.600405230349884;0.270352651154939;2.66937548115906;0.0759450778857088;0.197778937173205;3.1536697452815
Brycon.pesu;0.451089474798466;0;0.458234029338752;0.568566697085421;0.402538094463464;3.43601633592073;0.110490517896568;0.222278154659671;2.88962034058898
Bryconamericus.aff..hyphesson;0.508688458562848;0;0.200479383949891;0.184872780799332;0.393446846807615;4.90375124291448;0;0.213054216811744;2.86253565192659
Bryconamericus.guyanensis;0.539201134726652;0;0.360847069922696;0.450577686867238;0.377269044482;3.99101421641818;0.147387411690349;0.176244788440088;2.89078850181985
Bryconops.affinis;0.582994644349905;0;0.352467543411447;0.427971920738072;0.338766644124096;3.6007093962312;0.103218422713469;0.196833978486416;2.71276401902619
Bryconops.caudomaculatus;0.589214366171142;0;0.376577596351784;0.364626324348263;0.350951747397712;3.83888223283922;0.147368430448204;0.214655187808082;2.92698236486309
Bryconops.cyrtogaster;0.539747679952835;0;0.255492565550535;0.267528634975484;0.34830279936767;3.46375773971684;0.107311530601717;0.204007378888845;3.60888646743503
Bryconops.melanurus;0.490270084799765;0;0.466710330755473;0.242723395911965;0.420806358163085;3.45764793309318;0.157568582008716;0.194897210185909;3.70119976004799
Bunocephalus.amaurus;0.330766841217715;0.160272451907003;0.110265819671869;NA;0.399400205041727;6.38121792230771;0.347053882538557;0.208962044120032;2.32388936549133
Bunocephalus.coracoideus;0.181597746449416;0.240244103773585;0.237406475338299;NA;0.589991272443801;7.18540549242906;0.296567443673369;0.135176886792453;4.05834893525316
Bunocephalus.verrucosus;0.180259298760165;0.179767605633803;0.100648849583649;NA;0.33443599739655;3.81123643756752;0.375816094422041;NA;4.2643835160076
Caenotropus.maculosus;0.597403279124117;0;0.153326841667606;0.421941279201649;0.267397004849102;3.37633211823762;0.111088959209816;0.166038398495657;3.67297174719206
Callichthys.callichthys;0.19807824017199;0.227629068238662;0.143853330456619;0.241596590909091;0.328842923726227;4.4620350451568;0.19050287848089;0.181856245784507;1.38117334879956
Carnegiella.strigata;0.355328410612197;0;0.248355223617466;0.173580648148928;0.340891424724936;1.92205242449254;0.634146439189352;0.407442537241871;3.83189054726368
Centromochlus.punctatus;0.495323260355638;0.305059148638395;0.318711506447413;0.264625907549127;0.335188532561219;4.46742779282571;0.143271560510079;0.235180249925903;1.32410841904962
Centropomus.parallelus;0.415167095115681;0;0.321045576407507;0.808691516709512;0.413538873994638;3.91778418230563;0.428954423592493;NA;2.85245901639344
Cephalosilurus.nigricaudus;0.144825217613927;0.146715655106101;0.0581808245011088;NA;0.217759336425945;2.19905894198797;0.0699569290370629;0.175931903409395;2.04606598385803
Chaetobranchopsis.australis;0.274276639641983;0;0.337590095009282;0.264800117818628;0.381985688404275;1.83576465093959;0.334783463960596;0.388846569767307;1.52768641679185
